sku,quantity
112.0517.083,1
112.0517.084,2
112.0520.471,1
112.0530.237,1
112.0530.238,9
112.0530.239,7
112.0530.322,7
112.0532.169,9
112.0538.950,9
112.0539.138,1
112.0539.568,3
112.0548.292,1
112.0548.447,2
112.0548.448,1
112.0564.564,9
112.0591.082,7
112.0595.334,9
112.0602.288,2
112.0619.946,9
112.0622.813,9
112.0622.814,9
112.0622.815,9
112.0622.816,1
112.0622.817,9
112.0622.819,6
112.0622.820,2
112.0622.821,8
112.0624.354,9
112.0624.895,7
112.0625.483,8
112.0625.486,9
112.0652.763,9
112.0655.481,9
112.0655.482,9
112.0655.483,9
112.0655.488,9
112.0655.489,9
112.0657.022,9
112.0657.146,9
112.0657.273,9
112.0657.383,9
112.0657.421,9
112.0657.945,9
112.0658.444,9
112.0658.484,9
112.0668.276,9
112.0670.893,9
114.0204.999,1
114.0205.032,5
114.0251.445,9
114.0251.446,3
114.0251.447,9
114.0254.780,9
114.0254.784,9
114.0254.785,9
114.0254.791,9
114.0254.792,9
114.0258.031,9
114.0258.039,7
114.0258.040,9
114.0258.042,9
114.0272.580,9
114.0272.595,9
114.0272.596,9
114.0272.599,9
114.0272.602,8
114.0272.603,9
114.0272.633,9
114.0272.634,3
114.0306.793,9
114.0306.795,9
114.0306.796,8
114.0306.799,9
114.0306.800,2
114.0306.814,9
114.0306.815,9
114.0306.816,9
114.0363.850,4
114.0363.932,3
114.0363.933,9
114.0363.934,3
114.0363.939,6
114.0363.940,9
114.0365.349,2
114.0365.397,1
114.0367.737,4
114.0374.914,8
114.0374.915,5
114.0374.916,9
114.0374.920,9
114.0374.951,9
114.0375.033,4
114.0375.035,3
114.0375.036,9
114.0375.037,2
114.0375.041,9
114.0375.044,6
114.0375.045,9
114.0375.046,9
114.0375.050,9
114.0380.983,9
114.0381.002,9
114.0381.005,4
114.0381.006,9
114.0381.007,8
114.0381.010,3
114.0381.015,9
114.0381.019,9
114.0381.020,5
114.0381.062,9
114.0381.064,9
114.0381.069,9
114.0381.072,9
114.0497.987,9
114.0497.988,9
114.0498.001,9
114.0498.007,9
114.0498.008,9
114.0498.010,9
114.0498.031,9
114.0498.032,6
114.0499.222,1
114.0499.223,9
114.0502.869,9
114.0502.870,9
114.0502.871,1
114.0565.087,9
114.0565.090,9
114.0565.111,9
114.0565.115,9
114.0565.117,7
114.0565.124,9
114.0574.931,9
114.0574.932,4
114.0574.933,3
114.0574.934,9
114.0574.937,4
114.0574.940,9
114.0574.941,9
114.0574.942,3
114.0574.944,9
114.0574.948,9
114.0574.951,9
114.0574.952,9
114.0574.953,9
114.0574.954,9
114.0574.955,9
114.0574.959,3
114.0574.960,9
114.0574.961,9
114.0574.962,5
114.0574.971,6
114.0574.975,9
114.0574.978,9
114.0574.979,9
114.0574.980,8
114.0574.981,9
114.0574.982,9
114.0574.989,9
114.0574.992,4
114.0575.041,9
114.0575.042,9
114.0576.308,9
114.0592.098,8
114.0593.306,1
114.0594.685,2
114.0594.822,1
114.0630.401,4
114.0630.413,9
114.0630.416,9
114.0630.417,9
114.0630.418,9
114.0630.419,9
114.0630.420,9
114.0630.421,9
114.0630.423,9
114.0630.424,9
114.0630.425,9
114.0630.426,9
114.0630.427,9
114.0630.428,9
114.0630.429,9
114.0630.431,9
114.0630.434,9
114.0630.435,9
114.0630.437,9
114.0630.439,9
114.0630.440,4
114.0630.442,3
114.0630.443,1
114.0630.444,7
114.0630.446,9
114.0630.447,6
114.0630.449,7
114.0630.450,9
114.0630.451,9
114.0630.453,6
114.0630.455,9
114.0630.457,9
114.0630.458,9
114.0630.459,9
114.0630.461,5
114.0630.463,7
114.0630.465,6
114.0630.466,9
114.0630.467,9
114.0630.469,6
114.0630.471,9
114.0630.473,5
114.0630.474,9
114.0630.475,8
114.0630.477,6
114.0630.479,9
114.0631.437,3
114.0631.438,9
114.0631.439,9
114.0631.461,4
114.0631.466,9
114.0631.468,9
114.0631.469,9
114.0631.513,2
114.0631.515,9
114.0652.620,2
114.0661.769,7
114.0661.770,6
114.0661.771,4
114.0661.782,2
114.0661.783,3
114.0661.784,1
114.0661.785,1
114.0663.895,9
114.0663.896,7
114.0663.897,9
114.0663.898,9
114.0667.446,9
114.0667.447,9
114.0667.448,9
114.0668.599,4
114.0668.817,3
114.0668.818,9
